,prompt
0,"
As an article writer, you have to return the UPDATED CONTENT according to given OLD CONTENT and a TRIGGERED NEWS.

OLD CONTENT:

During the Afghan Civil War (1996–2001), resistance to the Taliban was strongest in northern Afghanistan, the base of the Northern Alliance. According to the Afghanistan Analysts Network, the Taliban's concentration of its forces in the north may be an attempt to forestall the creation of a second Northern Alliance after the withdrawal of U.S. forces. <Background> -- The Taliban captures Zaranj, the provincial capital of Nimruz Province, making it the first major capture of a provincial city by the group since the 2001 invasion

TRIGGERED NEWS:

Twenty more people are wounded
"
1,"
As an article writer, you have to return the UPDATED CONTENT according to given OLD CONTENT and a TRIGGERED NEWS.

OLD CONTENT:

During the Afghan Civil War (1996–2001), resistance to the Taliban was strongest in northern Afghanistan, the base of the Northern Alliance. According to the Afghanistan Analysts Network, the Taliban's concentration of its forces in the north may be an attempt to forestall the creation of a second Northern Alliance after the withdrawal of U.S. forces. <Background> -- The Taliban captures Zaranj, the provincial capital of Nimruz Province, making it the first major capture of a provincial city by the group since the 2001 invasion

TRIGGERED NEWS:

In Sar-e Pol, the Taliban drive government forces out of the main military base
"
2,"
As an article writer, you have to return the UPDATED CONTENT according to given OLD CONTENT and a TRIGGERED NEWS.

OLD CONTENT:

During the Afghan Civil War (1996–2001), resistance to the Taliban was strongest in northern Afghanistan, the base of the Northern Alliance. According to the Afghanistan Analysts Network, the Taliban's concentration of its forces in the north may be an attempt to forestall the creation of a second Northern Alliance after the withdrawal of U.S. forces. <Background> -- The Taliban captures Zaranj, the provincial capital of Nimruz Province, making it the first major capture of a provincial city by the group since the 2001 invasion

TRIGGERED NEWS:

[ADD] <Timeline - Brisbane lockdowns> -- Cairns and Yarrabah enter a snap three-day lockdown after an ""unexpected"" case of COVID-19 was reported in a taxi driver from Kanimbla who was infectious in Far North Queensland for 10 days
"
3,"
As an article writer, you have to return the UPDATED CONTENT according to given OLD CONTENT and a TRIGGERED NEWS.

OLD CONTENT:

During the Afghan Civil War (1996–2001), resistance to the Taliban was strongest in northern Afghanistan, the base of the Northern Alliance. According to the Afghanistan Analysts Network, the Taliban's concentration of its forces in the north may be an attempt to forestall the creation of a second Northern Alliance after the withdrawal of U.S. forces. <Background> -- The Taliban captures Zaranj, the provincial capital of Nimruz Province, making it the first major capture of a provincial city by the group since the 2001 invasion

TRIGGERED NEWS:

[ADD] <Timeline - Brisbane lockdowns> -- Cairns and Yarrabah enter a snap three-day lockdown after an ""unexpected"" case of COVID-19 was reported in a taxi driver from Kanimbla who was infectious in Far North Queensland for 10 days
"
4,"
As an article writer, you have to return the UPDATED CONTENT according to given OLD CONTENT and a TRIGGERED NEWS.

OLD CONTENT:

During the Afghan Civil War (1996–2001), resistance to the Taliban was strongest in northern Afghanistan, the base of the Northern Alliance. According to the Afghanistan Analysts Network, the Taliban's concentration of its forces in the north may be an attempt to forestall the creation of a second Northern Alliance after the withdrawal of U.S. forces. <Background> -- The Taliban captures Zaranj, the provincial capital of Nimruz Province, making it the first major capture of a provincial city by the group since the 2001 invasion

TRIGGERED NEWS:

<Event cancellations> -- Cairns and Yarrabah enter a snap three-day lockdown after an ""unexpected"" case of COVID-19 was reported in a taxi driver from Kanimbla who was infectious in Far North Queensland for 10 days
"
5,"
As an article writer, you have to return the UPDATED CONTENT according to given OLD CONTENT and a TRIGGERED NEWS.

OLD CONTENT:

During the Afghan Civil War (1996–2001), resistance to the Taliban was strongest in northern Afghanistan, the base of the Northern Alliance. According to the Afghanistan Analysts Network, the Taliban's concentration of its forces in the north may be an attempt to forestall the creation of a second Northern Alliance after the withdrawal of U.S. forces. <Background> -- The Taliban captures Zaranj, the provincial capital of Nimruz Province, making it the first major capture of a provincial city by the group since the 2001 invasion

TRIGGERED NEWS:

Plans to vaccinate teenagers are underway as tourism reopens in the country
"
6,"
As an article writer, you have to return the UPDATED CONTENT according to given OLD CONTENT and a TRIGGERED NEWS.

OLD CONTENT:

During the Afghan Civil War (1996–2001), resistance to the Taliban was strongest in northern Afghanistan, the base of the Northern Alliance. According to the Afghanistan Analysts Network, the Taliban's concentration of its forces in the north may be an attempt to forestall the creation of a second Northern Alliance after the withdrawal of U.S. forces. <Background> -- The Taliban captures Zaranj, the provincial capital of Nimruz Province, making it the first major capture of a provincial city by the group since the 2001 invasion

TRIGGERED NEWS:

A Rossiya Airlines passenger plane landed in Sharm El Sheikh carrying 518 passengers, and was welcomed with a water cannon salute, roses and flags
"
7,"
As an article writer, you have to return the UPDATED CONTENT according to given OLD CONTENT and a TRIGGERED NEWS.

OLD CONTENT:

During the Afghan Civil War (1996–2001), resistance to the Taliban was strongest in northern Afghanistan, the base of the Northern Alliance. According to the Afghanistan Analysts Network, the Taliban's concentration of its forces in the north may be an attempt to forestall the creation of a second Northern Alliance after the withdrawal of U.S. forces. <Background> -- The Taliban captures Zaranj, the provincial capital of Nimruz Province, making it the first major capture of a provincial city by the group since the 2001 invasion

TRIGGERED NEWS:

A Rossiya Airlines passenger plane landed in Sharm El Sheikh carrying 518 passengers, and was welcomed with a water cannon salute, roses and flags
"
8,"
As an article writer, you have to return the UPDATED CONTENT according to given OLD CONTENT and a TRIGGERED NEWS.

OLD CONTENT:

During the Afghan Civil War (1996–2001), resistance to the Taliban was strongest in northern Afghanistan, the base of the Northern Alliance. According to the Afghanistan Analysts Network, the Taliban's concentration of its forces in the north may be an attempt to forestall the creation of a second Northern Alliance after the withdrawal of U.S. forces. <Background> -- The Taliban captures Zaranj, the provincial capital of Nimruz Province, making it the first major capture of a provincial city by the group since the 2001 invasion

TRIGGERED NEWS:

[ADD] <Timeline - August> -- The Taliban captures Samangan (Aibak), the provincial capital of Samangan Province, making it the sixth capture of a provincial capital by the Islamist group in the past four days
"
9,"
As an article writer, you have to return the UPDATED CONTENT according to given OLD CONTENT and a TRIGGERED NEWS.

OLD CONTENT:

During the Afghan Civil War (1996–2001), resistance to the Taliban was strongest in northern Afghanistan, the base of the Northern Alliance. According to the Afghanistan Analysts Network, the Taliban's concentration of its forces in the north may be an attempt to forestall the creation of a second Northern Alliance after the withdrawal of U.S. forces. <Background> -- The Taliban captures Zaranj, the provincial capital of Nimruz Province, making it the first major capture of a provincial city by the group since the 2001 invasion

TRIGGERED NEWS:

Pentagon spokesman John Kirby says that the United States is willing to continue their airstrike campaign against the Taliban but warned that ""it is up to the Afghan government to defend themselves"" and also added that ""it is their struggle""
"
10,"
As an article writer, you have to return the UPDATED CONTENT according to given OLD CONTENT and a TRIGGERED NEWS.

OLD CONTENT:

During the Afghan Civil War (1996–2001), resistance to the Taliban was strongest in northern Afghanistan, the base of the Northern Alliance. According to the Afghanistan Analysts Network, the Taliban's concentration of its forces in the north may be an attempt to forestall the creation of a second Northern Alliance after the withdrawal of U.S. forces. <Background> -- The Taliban captures Zaranj, the provincial capital of Nimruz Province, making it the first major capture of a provincial city by the group since the 2001 invasion

TRIGGERED NEWS:

Pentagon spokesman John Kirby says that the United States is willing to continue their airstrike campaign against the Taliban but warned that ""it is up to the Afghan government to defend themselves"" and also added that ""it is their struggle""
"
11,"
As an article writer, you have to return the UPDATED CONTENT according to given OLD CONTENT and a TRIGGERED NEWS.

OLD CONTENT:

During the Afghan Civil War (1996–2001), resistance to the Taliban was strongest in northern Afghanistan, the base of the Northern Alliance. According to the Afghanistan Analysts Network, the Taliban's concentration of its forces in the north may be an attempt to forestall the creation of a second Northern Alliance after the withdrawal of U.S. forces. <Background> -- The Taliban captures Zaranj, the provincial capital of Nimruz Province, making it the first major capture of a provincial city by the group since the 2001 invasion

TRIGGERED NEWS:

Pentagon spokesman John Kirby says that the United States is willing to continue their airstrike campaign against the Taliban but warned that ""it is up to the Afghan government to defend themselves"" and also added that ""it is their struggle""
"
12,"
As an article writer, you have to return the UPDATED CONTENT according to given OLD CONTENT and a TRIGGERED NEWS.

OLD CONTENT:

During the Afghan Civil War (1996–2001), resistance to the Taliban was strongest in northern Afghanistan, the base of the Northern Alliance. According to the Afghanistan Analysts Network, the Taliban's concentration of its forces in the north may be an attempt to forestall the creation of a second Northern Alliance after the withdrawal of U.S. forces. <Background> -- The Taliban captures Zaranj, the provincial capital of Nimruz Province, making it the first major capture of a provincial city by the group since the 2001 invasion

TRIGGERED NEWS:

These are the seventh and eighth provincial capitals to fall under Taliban control in the past five days
"
13,"
As an article writer, you have to return the UPDATED CONTENT according to given OLD CONTENT and a TRIGGERED NEWS.

OLD CONTENT:

During the Afghan Civil War (1996–2001), resistance to the Taliban was strongest in northern Afghanistan, the base of the Northern Alliance. According to the Afghanistan Analysts Network, the Taliban's concentration of its forces in the north may be an attempt to forestall the creation of a second Northern Alliance after the withdrawal of U.S. forces. <Background> -- The Taliban captures Zaranj, the provincial capital of Nimruz Province, making it the first major capture of a provincial city by the group since the 2001 invasion

TRIGGERED NEWS:

These are the seventh and eighth provincial capitals to fall under Taliban control in the past five days
"
14,"
As an article writer, you have to return the UPDATED CONTENT according to given OLD CONTENT and a TRIGGERED NEWS.

OLD CONTENT:

During the Afghan Civil War (1996–2001), resistance to the Taliban was strongest in northern Afghanistan, the base of the Northern Alliance. According to the Afghanistan Analysts Network, the Taliban's concentration of its forces in the north may be an attempt to forestall the creation of a second Northern Alliance after the withdrawal of U.S. forces. <Background> -- The Taliban captures Zaranj, the provincial capital of Nimruz Province, making it the first major capture of a provincial city by the group since the 2001 invasion

TRIGGERED NEWS:

The decision is likely to result in a significant increase in fuel prices amid an economic crisis in the country
"
15,"
As an article writer, you have to return the UPDATED CONTENT according to given OLD CONTENT and a TRIGGERED NEWS.

OLD CONTENT:

During the Afghan Civil War (1996–2001), resistance to the Taliban was strongest in northern Afghanistan, the base of the Northern Alliance. According to the Afghanistan Analysts Network, the Taliban's concentration of its forces in the north may be an attempt to forestall the creation of a second Northern Alliance after the withdrawal of U.S. forces. <Background> -- The Taliban captures Zaranj, the provincial capital of Nimruz Province, making it the first major capture of a provincial city by the group since the 2001 invasion

TRIGGERED NEWS:

The jihadist group also takes control of Kunduz Airport, after hundreds of Afghan National Security Forces personnel in the area surrender with all of their military equipment
"
16,"
As an article writer, you have to return the UPDATED CONTENT according to given OLD CONTENT and a TRIGGERED NEWS.

OLD CONTENT:

During the Afghan Civil War (1996–2001), resistance to the Taliban was strongest in northern Afghanistan, the base of the Northern Alliance. According to the Afghanistan Analysts Network, the Taliban's concentration of its forces in the north may be an attempt to forestall the creation of a second Northern Alliance after the withdrawal of U.S. forces. <Background> -- The Taliban captures Zaranj, the provincial capital of Nimruz Province, making it the first major capture of a provincial city by the group since the 2001 invasion

TRIGGERED NEWS:

<Timeline - Fall of the provincial capitals> -- The Taliban captures the provincial capitals of Ghazni, Qala e Naw, Kandahar and Herat, bringing the number of provincial capitals taken in the past seven days to thirteen
"
17,"
As an article writer, you have to return the UPDATED CONTENT according to given OLD CONTENT and a TRIGGERED NEWS.

OLD CONTENT:

During the Afghan Civil War (1996–2001), resistance to the Taliban was strongest in northern Afghanistan, the base of the Northern Alliance. According to the Afghanistan Analysts Network, the Taliban's concentration of its forces in the north may be an attempt to forestall the creation of a second Northern Alliance after the withdrawal of U.S. forces. <Background> -- The Taliban captures Zaranj, the provincial capital of Nimruz Province, making it the first major capture of a provincial city by the group since the 2001 invasion

TRIGGERED NEWS:

[ADD] <2011 - Timeline> -- The Taliban captures the provincial capitals of Ghazni, Qala e Naw, Kandahar and Herat, bringing the number of provincial capitals taken in the past seven days to thirteen
"
18,"
As an article writer, you have to return the UPDATED CONTENT according to given OLD CONTENT and a TRIGGERED NEWS.

OLD CONTENT:

During the Afghan Civil War (1996–2001), resistance to the Taliban was strongest in northern Afghanistan, the base of the Northern Alliance. According to the Afghanistan Analysts Network, the Taliban's concentration of its forces in the north may be an attempt to forestall the creation of a second Northern Alliance after the withdrawal of U.S. forces. <Background> -- The Taliban captures Zaranj, the provincial capital of Nimruz Province, making it the first major capture of a provincial city by the group since the 2001 invasion

TRIGGERED NEWS:

<2011 - Timeline> -- The Taliban captures the provincial capitals of Ghazni, Qala e Naw, Kandahar and Herat, bringing the number of provincial capitals taken in the past seven days to thirteen
"
19,"
As an article writer, you have to return the UPDATED CONTENT according to given OLD CONTENT and a TRIGGERED NEWS.

OLD CONTENT:

During the Afghan Civil War (1996–2001), resistance to the Taliban was strongest in northern Afghanistan, the base of the Northern Alliance. According to the Afghanistan Analysts Network, the Taliban's concentration of its forces in the north may be an attempt to forestall the creation of a second Northern Alliance after the withdrawal of U.S. forces. <Background> -- The Taliban captures Zaranj, the provincial capital of Nimruz Province, making it the first major capture of a provincial city by the group since the 2001 invasion

TRIGGERED NEWS:

<Timeline - Fall of the provincial capitals> -- The Taliban captures the provincial capitals of Ghazni, Qala e Naw, Kandahar and Herat, bringing the number of provincial capitals taken in the past seven days to thirteen
"
20,"
As an article writer, you have to return the UPDATED CONTENT according to given OLD CONTENT and a TRIGGERED NEWS.

OLD CONTENT:

During the Afghan Civil War (1996–2001), resistance to the Taliban was strongest in northern Afghanistan, the base of the Northern Alliance. According to the Afghanistan Analysts Network, the Taliban's concentration of its forces in the north may be an attempt to forestall the creation of a second Northern Alliance after the withdrawal of U.S. forces. <Background> -- The Taliban captures Zaranj, the provincial capital of Nimruz Province, making it the first major capture of a provincial city by the group since the 2001 invasion

TRIGGERED NEWS:

<Analysis> -- The Taliban captures the provincial capitals of Lashkargah, Chaghcharan, Puli Alam, Qalati Ghilji and Tarinkot, bringing the number of provincial capitals taken in the past eight days to eighteen
"
