,response
0,"The ongoing war in Afghanistan began in 2001 when Operation Enduring Freedom was launched by the United States and its allies following the September 11 attacks against the United States in 2001. The primary objective of the invasion was to defeat al-Qaeda and remove the Taliban regime which had provided safe haven to Osama bin Laden and other terrorist organizations. Since then, the conflict has expanded into a multi-sided civil war between the government of Afghanistan, the Taliban insurgency, and other militant groups such as the Haqq"
1,"The ongoing war in Afghanistan began in 2001 when Operation Enduring Freedom was launched by the United States and its allies following the September 11 attacks against the United States in 2001. The primary objective of the invasion was to defeat al-Qaeda and remove the Taliban regime which had provided safe haven to Osama bin Laden and other terrorist groups responsible for the 9/11 attacks. Since then, the conflict has expanded into a multi-sided civil war between the government of Afghanistan, the Taliban insurgency, and"
2,"The COVID-19 pandemic in Australia is part of the ongoing worldwide pandemic of coronavirus disease 2019 (COVID-19) caused by severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2). The first confirmed case in Australia was announced on 27 February 2020, when a man in his 50s who had recently returned from Bali tested positive for SARS-CoV-2. On 13 March 2020, the Australian government declared a state of"
3,"The COVID-19 pandemic in Australia is part of the ongoing worldwide pandemic of coronavirus disease 2019 (COVID-19) caused by severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2). The first confirmed case in Australia was announced on 27 February 2020, when a man in his 50s who had recently returned from Bali tested positive for SARS-CoV-2. On 13 March 2020, the Australian government declared a state of"
4,"The COVID-19 pandemic is an ongoing outbreak of coronavirus disease 2019 (COVID-19) caused by severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2). First identified in Wuhan, Hubei, China in late 2019, it has since spread to become a global pandemic. The World Health Organization (WHO) declared the outbreak a public health emergency of international concern (PHEIC) on January 8, 2020. As of February"
5,"The COVID-19 pandemic in Afghanistan is part of the ongoing worldwide pandemic of coronavirus disease 2019 (COVID-19) caused by severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2). The first confirmed case in Afghanistan was reported on 3 March 2020. As of 17 October 2021, there have been at least 5,480 confirmed cases and 1,080 deaths in Afghanistan. On 11 August 2"
6,"The Islamic State of Iraq and the Levant - Khorasan Province (ISIL-KP) is a branch of the Islamic State of Iraq and the Levant (ISIL) operating in the Khorasan region, which includes parts of Afghanistan, Pakistan, and Iran. ISIL-KP has been designated as a foreign terrorist organization by the United States, Australia, Canada, New Zealand, and the United Kingdom. In January 2015, ISIL-KP declared its allegiance to Abu Bakr al-Baghdadi, the"
7,"The Islamic State of Iraq and the Levant - Khorasan Province (ISIL-KP) is a branch of the Islamic State of Iraq and the Levant (ISIL) operating in the Khorasan region, which includes parts of Afghanistan, Pakistan, and Iran. ISIL-KP has been designated as a foreign terrorist organization by the United States, Australia, Canada, New Zealand, and the United Kingdom. In January 2015, ISIL-KP declared its allegiance to Abu Bakr al-Baghdadi, the"
8,"The ongoing war in Afghanistan began in 2001 when Operation Enduring Freedom was launched by the United States and its allies following the September 11 attacks on the United States. The primary goal of the invasion was to defeat al-Qaeda and remove the Taliban regime which had provided safe haven to Osama bin Laden and other al-Qaeda leaders. Since then, the conflict has expanded into an insurgency campaign by the Taliban and other anti-government forces against the government of Afghanistan and the NATO-led International Security Assistance Force"
9,"The Taliban insurgency in Afghanistan refers to the ongoing conflict between the Taliban and the government of Afghanistan, which began in 2005 following the withdrawal of U.S.-led coalition forces from the country. The Taliban had previously ruled Afghanistan from 1996 to 2001, when they were overthrown by a U.S.-led invasion following the September 11 attacks on the United States. Since then, the Taliban have been fighting to regain control of the country. In recent years, the Talib"
10,"The Taliban insurgency in Afghanistan refers to the ongoing conflict between the Taliban and the government of Afghanistan, which began in 2005 following the withdrawal of U.S.-led coalition forces from the country. The Taliban had previously ruled Afghanistan from 1996 to 2001, when they were overthrown by a U.S.-led invasion following the September 11 attacks on the United States. Since then, the Taliban have been fighting to regain control of the country. In recent years, the Talib"
11,"The Taliban insurgency in Afghanistan refers to the ongoing conflict between the Taliban and the government of Afghanistan, which began in 2005 following the withdrawal of U.S.-led coalition forces from the country. The Taliban had previously ruled Afghanistan from 1996 to 2001, when they were overthrown by a U.S.-led invasion following the September 11 attacks on the United States. Since then, the Taliban have been fighting to regain control of the country. In recent years, the Talib"
12,"The War in Afghanistan (2015–present) is an ongoing conflict between the Islamic Emirate of Afghanistan (the Taliban) and the government of Afghanistan, supported by the North Atlantic Treaty Organization (NATO) and other international forces. The conflict began in late 2014, when the Taliban launched a nationwide offensive against the government, following the withdrawal of most foreign troops from the country. In January 2015, the Taliban captured the city of Kunduz, the first major urban center to fall under"
13,"The War in Afghanistan (2015–present) is an ongoing conflict between the Islamic Emirate of Afghanistan (the Taliban) and the government of Afghanistan, supported by the North Atlantic Treaty Organization (NATO) and other international forces. The conflict began in late 2014, when the Taliban launched a nationwide offensive against the government, following the withdrawal of most foreign troops from the country. In January 2015, the Taliban captured the city of Kunduz, the first major urban center to fall under"
14,"The war in Afghanistan began in 2001 when Operation Enduring Freedom was launched by the United States and its allies following the September 11 terrorist attacks on the World Trade Center and the Pentagon. The primary objective of the invasion was to capture or kill Osama bin Laden and destroy al-Qaeda's training camps in the country. After the initial invasion, Operation Enduring Freedom transitioned into Operation Iraqi Freedom, which aimed to remove Saddam Hussein from power in Iraq. In May 2011, President Barack Ob"
15,"The Islamic State of Iraq and the Levant – Khorasan Province (ISIL-KP) is a branch of the Islamic State of Iraq and the Levant (ISIL) operating in Afghanistan and Pakistan. ISIL-KP was officially announced on January 15, 2015, by Abu Bakr al-Baghdadi, the leader of ISIL, during a sermon at the Great Mosque of al-Nuri in Mosul, Iraq. Al-Baghdadi stated that the group would be known as Wilayat"
16,"The ongoing war in Afghanistan began in 2001 when Operation Enduring Freedom was launched by the United States and its allies following the September 11 attacks against the United States in 2001. The primary objective of the invasion was to defeat al-Qaeda and remove the Taliban regime which had provided safe haven to Osama bin Laden and other terrorist organizations. Since then, the war has expanded into a broader conflict between the government of Afghanistan and various insurgent groups, including the Taliban, Haqqani Network, Hezbi Is"
17,"The ongoing insurgency in Afghanistan began shortly after the fall of the Taliban regime in 2001, following the United States invasion of Afghanistan. The insurgency is composed of various groups, including the Taliban, Haqqani network, Hezbi Islami, Al-Qaeda, and other smaller groups. The conflict has resulted in thousands of civilian and military casualties, as well as displacement of millions of Afghans. In recent years, the Taliban have made significant gains against the government and NATO-led International Security Ass"
18,"The Taliban insurgency refers to the ongoing conflict between the Islamic Emirate of Afghanistan (the Taliban) and the government of Afghanistan. The conflict began in 1996, when the Taliban first emerged as a major force in Afghanistan, and has continued since the 2001 invasion of Afghanistan by the United States and its allies following the September 11 attacks. The Taliban are seeking to re-establish their rule over Afghanistan, which they held from 1996 to 2001."
19,"The ongoing war in Afghanistan began in 2001 when Operation Enduring Freedom was launched by the United States and its allies following the September 11 attacks against the United States in 2001. The primary objective of the invasion was to defeat al-Qaeda and remove the Taliban regime which had provided safe haven to Osama bin Laden and other terrorist organizations. Since then, the war has expanded into a broader conflict between the government of Afghanistan and various insurgent groups, including the Taliban, Haqqani Network, Hezbi Is"
20,"The Taliban insurgency refers to the ongoing conflict between the Islamic Emirate of Afghanistan (the Taliban) and the government of Afghanistan. The conflict began in 1996, when the Taliban first emerged as a political force in Afghanistan, and escalated following the September 11 attacks in 2001, when the United States and its allies invaded Afghanistan to oust the Taliban regime for harboring Osama bin Laden and his al-Qaeda organization. Since then, the Taliban have"
21,"The ongoing war in Afghanistan began in 2001 when Operation Enduring Freedom was launched by the United States and its allies following the September 11 attacks against the United States in 2001. The primary objective of the invasion was to defeat al-Qaeda and remove the Taliban regime which had provided safe haven to Osama bin Laden and other al-Qaeda leaders responsible for the 9/11 attacks. Since then, the conflict has expanded into a multi-sided civil war between the government of Afghanistan, the Taliban insur"
22,"The ongoing war in Afghanistan began in 2001 when Operation Enduring Freedom was launched by the United States and its allies following the September 11 attacks against the United States in 2001. The primary objective of the invasion was to defeat al-Qaeda and remove the Taliban regime which had provided safe haven to Osama bin Laden and other al-Qaeda leaders responsible for the 9/11 attacks. Since then, the conflict has expanded into a multi-sided civil war between the government of Afghanistan, the Taliban insur"
23,"The ongoing war in Afghanistan began in 2001 when Operation Enduring Freedom was launched by the United States and its allies following the September 11 attacks against the United States in 2001. The primary objective of the invasion was to defeat al-Qaeda and remove the Taliban regime which had provided safe haven to Osama bin Laden and other al-Qaeda leaders responsible for the 9/11 attacks. Since then, the conflict has expanded into a multi-sided civil war between the government of Afghanistan, the Taliban insur"
24,"The ongoing war in Afghanistan began in 2001 when Operation Enduring Freedom was launched by the United States and its allies following the September 11 attacks against the United States in 2001. The primary objective of the invasion was to defeat al-Qaeda and remove the Taliban regime which had provided safe haven to Osama bin Laden and other al-Qaeda leaders responsible for the 9/11 attacks. Since then, the conflict has expanded into a multi-sided civil war between the government of Afghanistan, the Taliban insur"
